timestamp,destination_id,destination_name,category,base_capacity,hour,day_of_week,month,is_weekend,is_holiday,is_monsoon,temperature_c,rainfall_mm,wind_kmh,weather_hazard_score,traffic_delay_factor,highway_ingress_vph,parking_occupancy_pct,active_visitors,dcc_threshold,dcc_load_ratio,is_critical_breach,target_visitors_1h,target_visitors_12h,target_dcc_ratio_1h,target_dcc_ratio_12h,target_breach_next_4h,target_breach_onset_4h
2025-03-10 19:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,0,0,3,0,0,0,21.6,0.0,11.5,0.06,1.0,891,29,2193,7326,0.299,0,2543.0,15341.0,0.349,4.215,0,0
2025-03-10 20:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,1,0,3,0,0,0,22.8,0.0,12.5,0.07,1.0,1161,34,2543,7280,0.349,0,2850.0,17508.0,0.391,4.75,0,0
2025-03-10 21:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,2,0,3,0,0,0,22.0,0.0,13.0,0.07,1.0,1010,36,2850,7280,0.391,0,2943.0,19063.0,0.445,5.172,1,1
2025-03-10 22:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,3,0,3,0,0,0,20.6,0.0,18.3,0.1,1.08,936,37,2943,6614,0.445,0,3110.0,18715.0,0.431,5.174,1,1
2025-03-10 23:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,4,0,3,0,0,0,21.9,0.0,12.8,0.07,1.01,1010,45,3110,7208,0.431,0,3154.0,17723.0,0.461,4.9,1,1
2025-03-11 00:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,5,0,3,0,0,0,21.5,0.0,11.1,0.06,1.07,877,40,3154,6847,0.461,0,4918.0,17622.0,0.869,4.781,1,1
2025-03-11 01:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,6,0,3,0,0,0,24.8,0.0,17.0,0.09,1.27,1420,70,4918,5661,0.869,1,6453.0,16491.0,1.339,4.42,1,0
2025-03-11 02:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,7,0,3,0,0,0,26.4,0.0,11.5,0.06,1.52,2101,89,6453,4820,1.339,1,7345.0,15667.0,1.574,4.25,1,0
2025-03-11 03:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,8,0,3,0,0,0,26.6,0.0,11.5,0.06,1.57,2817,100,7345,4666,1.574,1,7669.0,15047.0,1.928,4.16,1,0
2025-03-11 04:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,9,0,3,0,0,0,27.5,0.0,12.0,0.07,1.83,2168,99,7669,3978,1.928,1,10546.0,15003.0,2.332,4.096,1,0
2025-03-11 05:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,10,0,3,0,0,0,29.1,0.0,9.5,0.05,1.63,3200,100,10546,4522,2.332,1,12748.0,11638.0,3.547,3.238,1,0
2025-03-11 06:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,11,0,3,0,0,0,29.5,0.0,16.7,0.09,2.11,2947,100,12748,3594,3.547,1,15341.0,9317.0,4.215,2.497,1,0
2025-03-11 07:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,12,0,3,0,0,0,29.9,0.0,12.3,0.07,2.65,3200,100,15341,3640,4.215,1,17508.0,7639.0,4.75,1.877,1,0
2025-03-11 08:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,13,0,3,0,0,0,30.8,0.0,9.3,0.05,2.64,3200,100,17508,3686,4.75,1,19063.0,6368.0,5.172,1.426,1,0
2025-03-11 09:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,14,0,3,0,0,0,31.4,0.0,9.0,0.05,2.64,3200,100,19063,3686,5.172,1,18715.0,5394.0,5.174,1.024,1,0
2025-03-11 10:33:27,ALB,Alibaug Coastal Hub,Coastal,8000,15,0,3,0,0,0,30.3,0.0,14.3,0.08,2.65,3200,100,18715,3617,5.174,1,17723.0,4862.0,4.9,0.897,1,0
